,user,pid,playlist,track_name,artist_name,album_name
23,0,841,Deb,Baby Girl,21 Savage,Issa Album
67,0,841,Deb,Conqueror,AURORA,All My Demons Greeting Me As A Friend
0,0,841,Deb,It's Christmas,Anthony Hamilton,Home For The Holidays
1,0,841,Deb,Spend Christmas With You,Anthony Hamilton,Home For The Holidays
3,0,841,Deb,Little Drummer Boy (Interlude),Anthony Hamilton,Home For The Holidays
5,0,841,Deb,Home For The Holidays,Anthony Hamilton,Home For The Holidays
6,0,841,Deb,'Tis The Season,Anthony Hamilton,Home For The Holidays
7,0,841,Deb,What Do The Lonely Do At Christmas,Anthony Hamilton,Home For The Holidays
9,0,841,Deb,Away In A Manger (Interlude),Anthony Hamilton,Home For The Holidays
13,0,841,Deb,Spirit Of Love,Anthony Hamilton,Home For The Holidays
14,0,841,Deb,Back To Love,Anthony Hamilton,Back To Love (Deluxe Version)
15,0,841,Deb,Writing On The Wall,Anthony Hamilton,Back To Love (Deluxe Version)
16,0,841,Deb,Woo,Anthony Hamilton,Back To Love (Deluxe Version)
18,0,841,Deb,Best of Me,Anthony Hamilton,Back To Love (Deluxe Version)
19,0,841,Deb,Never Let Go,Anthony Hamilton,Back To Love (Deluxe Version)
21,0,841,Deb,I'll Wait (To Fall In Love),Anthony Hamilton,Back To Love (Deluxe Version)
22,0,841,Deb,Sucka For You,Anthony Hamilton,Back To Love (Deluxe Version)
24,0,841,Deb,Who's Loving You,Anthony Hamilton,Back To Love (Deluxe Version)
25,0,841,Deb,Life Has A Way,Anthony Hamilton,Back To Love (Deluxe Version)
26,0,841,Deb,Broken Man,Anthony Hamilton,Back To Love (Deluxe Version)
28,0,841,Deb,Fair In Love,Anthony Hamilton,Back To Love (Deluxe Version)
29,0,841,Deb,More Than Enough,Anthony Hamilton,Back To Love (Deluxe Version)
56,0,841,Deb,Beautiful,Ben Rector,The Walking in Between
60,0,841,Deb,Hey Girl,Billy Currington,We Are Tonight
31,0,841,Deb,Be In Love,Chrisette Michele,Better
32,0,841,Deb,A Couple Of Forevers,Chrisette Michele,Better
33,0,841,Deb,Let Me Win,Chrisette Michele,Better
34,0,841,Deb,Rich Hipster,Chrisette Michele,Better
35,0,841,Deb,Love Won't Leave Me Out,Chrisette Michele,Better
36,0,841,Deb,Interlude (In My Head - Better),Chrisette Michele,Better
38,0,841,Deb,Snow,Chrisette Michele,Better
39,0,841,Deb,Visual Love,Chrisette Michele,Better
40,0,841,Deb,Charades,Chrisette Michele,Better
41,0,841,Deb,Interlude (In My Heart - Convo With Boyfriend),Chrisette Michele,Better
42,0,841,Deb,You Mean That Much To Me,Chrisette Michele,Better
43,0,841,Deb,Supa,Chrisette Michele,Better
44,0,841,Deb,Interlude (In My Bed - Sleeping Alone),Chrisette Michele,Better
45,0,841,Deb,Get Through The Night,Chrisette Michele,Better
46,0,841,Deb,Can The Cool Be Loved?,Chrisette Michele,Better
47,0,841,Deb,Ten Foot Stilettos,Chrisette Michele,Better
48,0,841,Deb,Interlude (Perch Yo Girlz - Phone Convo),Chrisette Michele,Better
49,0,841,Deb,I'm Still Fly,Chrisette Michele,Better
50,0,841,Deb,Love In The Afternoon,Chrisette Michele,Better
84,0,841,Deb,Everything,City of the Sun,To the Sun and All the Cities in Between
51,0,841,Deb,Confrontation,Damian Marley,Welcome to Jamrock
53,0,841,Deb,Welcome To Jamrock,Damian Marley,Welcome to Jamrock
54,0,841,Deb,The Master Has Come Back,Damian Marley,Welcome to Jamrock
57,0,841,Deb,Pimpa's Paradise,Damian Marley,Welcome to Jamrock
58,0,841,Deb,Move!,Damian Marley,Welcome to Jamrock
59,0,841,Deb,For The Babies,Damian Marley,Welcome to Jamrock
61,0,841,Deb,Road To Zion,Damian Marley,Welcome to Jamrock
62,0,841,Deb,We're Gonna Make It,Damian Marley,Welcome to Jamrock
63,0,841,Deb,In 2 Deep,Damian Marley,Welcome to Jamrock
64,0,841,Deb,Khaki Suit,Damian Marley,Welcome to Jamrock
65,0,841,Deb,Finna Get Loose,Diddy,Finna Get Loose
83,0,841,Deb,Set Me Free,Dyro,Set Me Free EP
68,0,841,Deb,Something Good/Devotion (Passion Interlude),Estelle,True Romance
69,0,841,Deb,Make Her Say (Beat It Up),Estelle,True Romance
70,0,841,Deb,Time Share (Suite 509),Estelle,True Romance
73,0,841,Deb,Silly Girls,Estelle,True Romance
74,0,841,Deb,Gotcha Love,Estelle,True Romance
75,0,841,Deb,She Will Love,Estelle,True Romance
77,0,841,Deb,American Boy (feat. Kanye West),Estelle,Shine
52,0,841,Deb,There For You,Flyleaf,Flyleaf
11,0,841,Deb,Please Come Home For Christmas,Grace Potter & The Nocturnals,Christmas with Grace Potter & The Nocturnals
66,0,841,Deb,Time After Time,Iron & Wine,Time After Time
88,0,841,Deb,Save Me,JJ Heller,Painted Red
78,0,841,Deb,Foolin (Chopped Not Slopped),JMSN,Purple (Chopped Not Slopped)
2,0,841,Deb,Santa Claus Go Straight To The Ghetto,James Brown,Soulful Christmas
86,0,841,Deb,Stay With Me,Jasmine Thompson,Stay With Me
76,0,841,Deb,All That Matters,Kaleb Mitchell,All That Matters
71,0,841,Deb,The Same,Kenny Turnup,The Same
17,0,841,Deb,Pray For Me,Kirk Franklin,Losing My Religion
79,0,841,Deb,Who's Gonna Love You More,Leela James,Fall For You
80,0,841,Deb,Say That (feat. Anthony Hamilton),Leela James,Fall For You
81,0,841,Deb,Give It,Leela James,Fall For You
82,0,841,Deb,Do Me Right,Leela James,Fall For You
87,0,841,Deb,Fall for You,Leela James,Fall For You
8,0,841,Deb,Coming Home,Leon Bridges,Coming Home
72,0,841,Deb,Fight for It,Lucy Spraggan,I Hope You Don't Mind Me Writing
37,0,841,Deb,Better,Meghan Trainor,Thank You
89,0,841,Deb,WTF (Where They From) [feat. Pharrell Williams],Missy Elliott,WTF (Where They From) [feat. Pharrell Williams]
90,0,841,Deb,"...So Addictive (Intro) [feat. Charlene ""Tweet"" Keys]",Missy Elliott,Miss E...So Addictive
91,0,841,Deb,Dog In Heat (feat. Redman & Method Man) - featuring Redman & Method Man LP Version,Missy Elliott,Miss E...So Addictive
92,0,841,Deb,One Minute Man (feat. Ludacris),Missy Elliott,Miss E...So Addictive
93,0,841,Deb,Lick Shots - Original LP Version,Missy Elliott,Miss E...So Addictive
94,0,841,Deb,Get Ur Freak On,Missy Elliott,Respect M.E.
95,0,841,Deb,Scream a.k.a. Itchin',Missy Elliott,Miss E...So Addictive
96,0,841,Deb,Old School Joint,Missy Elliott,Miss E...So Addictive
97,0,841,Deb,Take Away (feat. Ginuwine) - featuring Ginuwine LP Version,Missy Elliott,Miss E...So Addictive
98,0,841,Deb,4 My People (feat. Eve) - featuring Eve LP Version,Missy Elliott,Miss E...So Addictive
99,0,841,Deb,Bus-A-Bus (Interlude) [feat. Busta Rhymes] - Interlude featuring Busta Rhymes LP Version,Missy Elliott,Miss E...So Addictive
100,0,841,Deb,Watcha Gonna Do (feat. Timbaland) - featuring Timbaland LP Version,Missy Elliott,Miss E...So Addictive
101,0,841,Deb,Step Off,Missy Elliott,Miss E...So Addictive
102,0,841,Deb,X-tasy,Missy Elliott,Miss E...So Addictive
103,0,841,Deb,Slap! Slap! Slap! (feat. Da Brat & Jade) - featuring Da Brat & Jade LP Version,Missy Elliott,Miss E...So Addictive
104,0,841,Deb,I've Changed (Interlude) [feat. Lil' Mo] - Interlude featuring Lil' Mo LP Version,Missy Elliott,Miss E...So Addictive
105,0,841,Deb,One Minute Man (feat. Jay-Z) - Remix,Missy Elliott,Miss E...So Addictive
