"",user,pid,playlist,track_name,artist_name,album_name
0,0,2352,current mood,Kryptonite,3 Doors Down,The Better Life
1,0,2352,current mood,Ironic - 2015 Remastered,Alanis Morissette,Jagged Little Pill (Remastered)
2,0,2352,current mood,Hand In My Pocket - 2015 Remastered,Alanis Morissette,Jagged Little Pill (Remastered)
3,0,2352,current mood,Thank U,Alanis Morissette,Supposed Former Infatuation Junkie
4,0,2352,current mood,You Oughta Know - 2015 Remastered,Alanis Morissette,Jagged Little Pill (Remastered)
5,0,2352,current mood,One Week,Barenaked Ladies,Stunt
6,0,2352,current mood,Pinch Me,Barenaked Ladies,Maroon
7,0,2352,current mood,It's All Been Done,Barenaked Ladies,Stunt
8,0,2352,current mood,Shine,Collective Soul,"Hints, Allegations & Things Left Unsaid"
9,0,2352,current mood,Put Your Records On,Corinne Bailey Rae,Corinne Bailey Rae
10,0,2352,current mood,Mr. Jones,Counting Crows,August And Everything After
11,0,2352,current mood,Accidentally In Love,Counting Crows,Films About Ghosts: The Best Of...
13,0,2352,current mood,Crash into Me,Dave Matthews Band,Crash
14,0,2352,current mood,Roll To Me,Del Amitri,Twisted
28,0,2352,current mood,Upside Down,Diana Ross,Diana
15,0,2352,current mood,Save Tonight,Eagle-Eye Cherry,Desireless
16,0,2352,current mood,Inside Out,Eve 6,Eve 6
17,0,2352,current mood,Father Of Mine,Everclear,So Much For The Afterglow
19,0,2352,current mood,Superman (It's Not Easy),Five For Fighting,Playlist: The Very Best Of Five For Fighting
20,0,2352,current mood,100 Years,Five For Fighting,Playlist: The Very Best Of Five For Fighting
22,0,2352,current mood,Follow You Down,Gin Blossoms,Follow You Down
23,0,2352,current mood,The Anthem,Good Charlotte,Good Charlotte/The Young And The Hopeless
24,0,2352,current mood,Lifestyles of the Rich & Famous,Good Charlotte,Good Charlotte/The Young And The Hopeless
25,0,2352,current mood,Girls & Boys,Good Charlotte,Good Charlotte/The Young And The Hopeless
53,0,2352,current mood,Freaky Girl,Gucci Mane,Hard to Kill
26,0,2352,current mood,I Go Blind,Hootie & The Blowfish,"Scattered, Smothered And Covered"
27,0,2352,current mood,Banana Pancakes,Jack Johnson,In Between Dreams
30,0,2352,current mood,Your Body Is a Wonderland,John Mayer,Room For Squares
31,0,2352,current mood,Free Fallin' - Live at the Nokia Theatre,John Mayer,Where The Light Is: John Mayer Live In Los Angeles
32,0,2352,current mood,No Such Thing,John Mayer,Room For Squares
33,0,2352,current mood,Jack & Diane,John Mellencamp,American Fool
34,0,2352,current mood,I Think I'm In Love,Kat Dahlia,My Garden
21,0,2352,current mood,The Riddle,Kodaline,I Wouldn't Be - EP
12,0,2352,current mood,Big Yellow Taxi,Lennon & Maisy,Big Yellow Taxi
18,0,2352,current mood,Wonderful,Lianne La Havas,Blood
35,0,2352,current mood,Hanging By A Moment,Lifehouse,No Name Face
45,0,2352,current mood,Bitch,Lolawolf,Calm Down
36,0,2352,current mood,3AM,Matchbox Twenty,Yourself Or Someone Like You
37,0,2352,current mood,Unwell - Remastered Version,Matchbox Twenty,Exile On Mainstream
38,0,2352,current mood,How Far We've Come,Matchbox Twenty,Exile On Mainstream
39,0,2352,current mood,If You're Gone,Matchbox Twenty,Mad Season
